client_name,sessions,converted_sessions,unconverted_sessions,conversion_rate_pct,matched_tool_calls,distinct_versions
(unknown),2947,1568,1379,53.207,1582,1
mcp-client,2916,0,2916,0.0,0,2
mcp-proxy (via mcp-remote 0.1.37),2702,0,2702,0.0,0,1
isee-probe,2595,0,2595,0.0,0,1
BB8-MCP-Broker-conn-64cabf7f,2537,0,2537,0.0,0,1
openai-mcp (Agent Builder),2471,2376,95,96.155,2380,1
BB8-MCP-Broker-conn-60b55b4c,2462,0,2462,0.0,0,1
PlayMCP,2212,0,2212,0.0,0,1
codex-mcp-client (via mcp-remote 0.1.29),2207,2,2205,0.091,2,18
Replit-Agent-MCP-Client,2196,5,2191,0.228,5,1
llama-ui-mcp,2191,24,2167,1.095,169,1
BB8-MCP-Broker-conn-dbe45ee2,2007,0,2007,0.0,0,1
metamcp-client,1915,11,1904,0.574,13,1
Agent iOS,1862,0,1862,0.0,0,1
Manus,1823,651,1172,35.71,4200,17
groq-mcp-client,1802,1297,505,71.976,2851,1
Grafana Assistant,1746,1,1745,0.057,1,1
lke-mcp-client,1687,0,1687,0.0,0,1
MCP Gateway AMI,1620,505,1115,31.173,560,1
Workato MCP Connector,1496,0,1496,0.0,0,1
kiro,1495,56,1439,3.746,668,1
claude-code (via mcp-remote 0.1.30),1424,13,1411,0.913,72,27
curl-client,1385,0,1385,0.0,0,2
amelia-mcp-client,1385,5,1380,0.361,7,2
bolt-api,1354,3,1351,0.222,7,37
aibuildai-preflight,1347,0,1347,0.0,0,1
Cline,1328,24,1304,1.807,92,20
toolhive-vmcp,1268,0,1268,0.0,0,2
mcp-gateway,1255,14,1241,1.116,20,3
Roo Code,1220,50,1170,4.098,209,11
continue-client,1195,5,1190,0.418,9,1
AI Gateway,1185,0,1185,0.0,0,1
BB8-MCP-Broker-conn-c371ad82,1155,0,1155,0.0,0,1
@n8n/n8n-nodes-langchain.mcpClientTool,1141,252,889,22.086,252,2
Kelivo MCP,1052,2,1050,0.19,4,1
gitmc-org-mcp-scanner,972,0,972,0.0,0,1
smithery-probe,955,0,955,0.0,0,1
nexus-worker,852,2,850,0.235,51,1
cosine-cli,834,2,832,0.24,3,1
Q DEV CLI (via mcp-remote 0.1.37),820,0,820,0.0,0,1
tfy-transport-probe,771,0,771,0.0,0,1
Zed,768,11,757,1.432,39,1
Anthropic/Cowork,734,610,124,83.106,3764,1
connectors-manager,726,172,554,23.691,172,1
qwen-cli-mcp-client-huggingface,704,14,690,1.989,51,1
Windsurf (via mcp-remote 0.1.37),703,13,690,1.849,55,1
opencode (via mcp-remote 0.1.37),702,638,64,90.883,2228,37
Google ASM-Core,694,0,694,0.0,0,1
Visual Studio Code - Insiders,681,118,563,17.327,896,15
custom3p-desktop,680,7,673,1.029,20,20
omp-coding-agent,673,17,656,2.526,112,1
mcproxy-remote,673,1,672,0.149,1,1
Poke,657,535,122,81.431,560,1
mcp-test-client,641,10,631,1.56,217,10
Roo Code (via mcp-remote 0.1.37),631,9,622,1.426,65,7
Q DEV CLI,606,17,589,2.805,113,1
sproutos,597,0,597,0.0,0,1
dovkie-monitor,587,0,587,0.0,0,1
Anthropic/ClaudeCodeDesktop,581,537,44,92.427,4245,1
local-agent-mode-huggingface (via mcp-remote 0.1.37),562,33,529,5.872,315,1
codex-mcp-client (via mcp-remote 0.1.30),557,3,554,0.539,8,13
local-agent-mode-hf-mcp-server (via mcp-remote 0.1.37),552,8,544,1.449,22,1
augment-mcp-client,536,1,535,0.187,3,1
dev.warp.Warp-Stable,529,2,527,0.378,43,20
HuggingFace,526,0,526,0.0,0,1
hais-mcp-wallet,494,1,493,0.202,1,1
cursor-vscode (via mcp-remote 0.1.37),480,4,476,0.833,27,1
Anthropic/API,477,31,446,6.499,143,1
VTENEXT/MCP-Client,466,0,466,0.0,0,1
archestra-platform,458,0,458,0.0,0,17
test,457,58,399,12.691,159,8
Trae,453,13,440,2.87,127,2
Kai 9000,429,18,411,4.196,110,1
Cline (via mcp-remote 0.1.37),426,5,421,1.174,14,11
lmstudio-mcp-server-session (via mcp-remote 0.1.37),426,15,411,3.521,43,1
hf-mcp-server,416,4,412,0.962,12,2
hf,416,1,415,0.24,3,2
Airia MCP Gateway,413,0,413,0.0,0,1
q-chat-plugin,397,0,397,0.0,0,1
openai-mcp (Responses API),397,97,300,24.433,234,1
mcp-client-huggingface,385,6,379,1.558,15,1
metricly-mcp-hub,382,1,381,0.262,1,1
openacme-huggingface,362,0,362,0.0,0,1
h2ogpte_introspect,358,0,358,0.0,0,1
tfy-gateway-virtual,331,0,331,0.0,0,1
1DD919D0-D810-4D10-B291-5B0141A1EF5F,331,0,331,0.0,0,1
koi-remote-mcp-scanner,328,0,328,0.0,0,1
AgentBrowser,319,14,305,4.389,31,1
mad-dashboard,318,0,318,0.0,0,1
mcp-client-hf-mcp,301,18,283,5.98,328,1
flowise-client,299,18,281,6.02,18,1
goose-desktop,283,13,270,4.594,112,7
codex-mcp-client (via mcp-remote 0.1.18),272,0,272,0.0,0,13
routermcp,272,17,255,6.25,18,1
hermes-agent,270,3,267,1.111,16,1
fast-agent-mcp,266,113,153,42.481,309,28
egnyte-mcp-client-configurations,264,0,264,0.0,0,1
ps-mcp-tools-probe,263,0,263,0.0,0,1
WyvernChat,263,0,263,0.0,0,1
litellm-ui,258,1,257,0.388,1,1
inspector-client,254,24,230,9.449,58,4
thisilabs,253,153,100,60.474,272,1
manifest-generator,253,0,253,0.0,0,1
coco-mcp-client,250,5,245,2.0,6,1
kiro (via mcp-remote 0.1.37),249,6,243,2.41,47,1
@n8n/mcp-registry.huggingFace,247,4,243,1.619,4,1
Zia Agent MCP Client,246,4,242,1.626,18,1
mcporter (via mcp-remote 0.1.37),239,7,232,2.929,7,4
Copilot,239,2,237,0.837,4,1
nai-mcp-client,234,0,234,0.0,0,1
Super MCP Integration,231,0,231,0.0,0,1
qwen-cli-mcp-client-huggingface-skills,228,7,221,3.07,16,1
openai-mcp (ChatGPT),228,0,228,0.0,0,1
TraeCN,224,4,220,1.786,8,1
mcpgw-upstream,223,0,223,0.0,0,1
figma-synapse-client,219,0,219,0.0,0,1
actionist,215,2,213,0.93,5,1
@cline/core,214,4,210,1.869,11,1
nexus-gateway,208,3,205,1.442,13,1
Rush,206,0,206,0.0,0,1
AgentPulse,206,0,206,0.0,0,1
xai-backend,205,32,173,15.61,40,1
BB8-MCP-Broker-conn-6d3f9d9b,195,0,195,0.0,0,1
mcp-use,192,139,53,72.396,139,2
tracelet-probe,190,0,190,0.0,0,1
registry-health-checker,185,0,185,0.0,0,1
conduit,175,0,175,0.0,0,1
dev.warp.Warp,174,0,174,0.0,0,15
DeepChat,173,8,165,4.624,50,18
chatwise,172,0,172,0.0,0,24
@librechat/api-client,169,17,152,10.059,55,1
Kai,168,2,166,1.19,7,1
craft-agent,167,10,157,5.988,74,1
mission-mcp-doctor,164,0,164,0.0,0,1
qwen-cli-mcp-client-hugging-face,163,1,162,0.613,10,1
aigc-client,160,0,160,0.0,0,1
40mcp-connector,159,0,159,0.0,0,1
multi-agent-platform,155,6,149,3.871,6,1
mcp-studio-scanner,155,0,155,0.0,0,1
chatgpt2api,153,0,153,0.0,0,1
kyoto,151,0,151,0.0,0,1
mcp-inspector-ui,149,29,120,19.463,53,1
dova,146,114,32,78.082,253,2
probe,146,7,139,4.795,36,8
Bifrost-huggingface,142,2,140,1.408,4,1
claude-rs,142,0,142,0.0,0,1
McpGateway,138,5,133,3.623,10,1
SynthAI.Api,138,0,138,0.0,0,1
Azure API Management,137,6,131,4.38,7,1
Glue AI,137,0,137,0.0,0,1
mcpjungle mcp client for https://huggingface.co/mcp,135,73,62,54.074,74,1
lmstudio-mcp-bridge,135,1,134,0.741,4,1
grok-shell-grok_com_hugging_face,134,1,133,0.746,1,21
agent-store-client,132,33,99,25.0,117,1
claude-ai (via mcp-remote 0.1.36),130,0,130,0.0,0,1
Kwaipilot-client,127,7,120,5.512,21,1
kilo,126,112,14,88.889,385,9
proxy-hf-mcp-server,124,0,124,0.0,0,1
openint-healthcheck,123,0,123,0.0,0,1
jetbrains-ai-assistant-client,121,3,118,2.479,25,1
continuum-sync,118,0,118,0.0,0,1
mcp-ktor,116,0,116,0.0,0,3
esan-agent,110,2,108,1.818,2,1
raiwork,108,2,106,1.852,3,1
huggingface,108,1,107,0.926,1,2
mcp-streamable-proxy-client,105,1,104,0.952,10,1
mcp-proxy-detector,104,0,104,0.0,0,1
BB8-MCP-Broker-conn-e0b63b9b,101,0,101,0.0,0,1
registry-tool-scraper,100,0,100,0.0,0,1
notion-mcp-client,97,35,62,36.082,37,1
bridge-inspector,95,6,89,6.316,6,1
Osaurus,93,0,93,0.0,0,28
MintMCP Client,92,0,92,0.0,0,1
chatbox-mcp-client,92,23,69,25.0,180,1
ViPEW,91,0,91,0.0,0,1
openclaw-mcp-huggingface,91,0,91,0.0,0,1
rmcp,90,14,76,15.556,34,9
59145A67-7CBF-437B-922A-3EED9C141646,90,1,89,1.111,3,1
tedix-mcp-scanner,88,14,74,15.909,14,1
docker,88,0,88,0.0,0,1
Hugging Face,85,0,85,0.0,0,2
unichat-client-mcp,84,0,84,0.0,0,1
MintlifyAgentRank,84,0,84,0.0,0,1
my-go-client,83,0,83,0.0,0,1
bluenexus-mcp-client,81,24,57,29.63,24,3
q-chat-plugin (via mcp-remote 0.1.37),80,0,80,0.0,0,1
ai-voice-call-core,80,0,80,0.0,0,1
hugging face,79,0,79,0.0,0,1
junie-client,79,0,79,0.0,0,1
enforce-gateway-go,79,0,79,0.0,0,1
python-client,78,54,24,69.231,1576,1
MCP Gateway,76,67,9,88.158,67,1
picoclaw,75,0,75,0.0,0,1
solver,74,72,2,97.297,7688,1
MCP Security Scanner,74,0,74,0.0,0,1
pi-mcp-probe,73,0,73,0.0,0,1
mcp-robot,73,0,73,0.0,0,1
Cherry Studio (via mcp-remote 0.1.37),72,4,68,5.556,36,8
tap-platform-mcp-client,72,0,72,0.0,0,1
@n8n/n8n-nodes-langchain.mcpClient,71,3,68,4.225,3,1
VisualStudio,70,6,64,8.571,10,18
py-client,69,0,69,0.0,0,1
mcp-sec-ratelimit-scanner,69,0,69,0.0,0,1
claude-ai (via mcp-remote 0.1.17),68,0,68,0.0,0,1
qwen-cli-mcp-client-hf-mcp-server,67,0,67,0.0,0,1
LocalAIAgent,67,4,63,5.97,10,1
hugging_face_mcp_b75cfb,67,11,56,16.418,40,1
local-agent-mode-homelab-huggingface (via mcp-remote 0.1.37),66,1,65,1.515,3,1
BeldenIQ,66,0,66,0.0,0,1
continue-client (via mcp-remote 0.1.37),65,0,65,0.0,0,1
pipeline_mcp,65,52,13,80.0,284,1
dartantic_ai,63,0,63,0.0,0,1
mcptotal-client,63,0,63,0.0,0,1
iris-self-discover,62,0,62,0.0,0,1
AERA-MCP-Audit,62,38,24,61.29,25297,1
grok-shell-huggingface,62,0,62,0.0,0,8
github-copilot-developer (via mcp-remote 0.1.37),61,1,60,1.639,1,16
mcp-hub,60,2,58,3.333,5,2
Hugging Face MCP,59,0,59,0.0,0,1
amp-mcp-client (via mcp-remote 0.1.37),57,7,50,12.281,27,1
local-agent-mode-huggingface-flux (via mcp-remote 0.1.37),57,0,57,0.0,0,1
tfy-agent-mcp-client,56,1,55,1.786,1,1
mcphost,55,1,54,1.818,1,1
mcp-live-test,55,0,55,0.0,0,1
tanka-output-v4,55,43,12,78.182,43,1
Privacy AI,54,4,50,7.407,11,7
bio-agents-platform,53,0,53,0.0,0,1
junie-client (via mcp-remote 0.1.37),53,1,52,1.887,25,1
platform-client,53,0,53,0.0,0,1
dev.warp.Warp-Preview,52,2,50,3.846,7,10
verify-mcp,52,0,52,0.0,0,1
daily-huggingface,52,52,0,100.0,156,1
llama-stack-bff-client,51,0,51,0.0,0,1
layla,51,13,38,25.49,20,13
crabeye-mcp-bridge/huggingface,51,2,49,3.922,4,1
toolhive,49,0,49,0.0,0,1
span-pipeline,49,0,49,0.0,0,1
pi-mcp-huggingface,49,32,17,65.306,188,1
Intility.Gpt.Backend,48,0,48,0.0,0,1
AbacusAI TUI,48,0,48,0.0,0,1
openclaw-mcp-adapter (via mcp-remote 0.1.37),48,0,48,0.0,0,1
openstatus-health-check,45,0,45,0.0,0,1
vllm-dashboard,45,0,45,0.0,0,1
omelette-go,45,26,19,57.778,82,1
tracelet-virtual-mcp,45,2,43,4.444,3,1
monamis-runtime,44,0,44,0.0,0,1
claude-ai (via mcp-remote 0.1.18),44,0,44,0.0,0,1
SynthAI.Tests,44,0,44,0.0,0,1
yua-backend,44,10,34,22.727,41,1
huggingface (via mcp-remote 0.1.37),44,4,40,9.091,10,1
mcpwn,43,5,38,11.628,886,1
Visual Studio Code Agents - Insiders,43,5,38,11.628,33,6
0xKobold,43,0,43,0.0,0,1
ai-agents-mcp-client,43,0,43,0.0,0,7
hf-mcp,43,0,43,0.0,0,1
docker agent,41,2,39,4.878,5,1
crabeye-mcp-bridge/hf-mcp-server,41,0,41,0.0,0,1
tanka-assistant,41,27,14,65.854,27,1
smoke,40,0,40,0.0,0,3
local-agent-mode-HuggingFace (via mcp-remote 0.1.37),40,0,40,0.0,0,1
1mcp,40,2,38,5.0,6,2
mcpjungle mcp client for https://huggingface.co/mcp?login,40,13,27,32.5,13,1
mcp-remote-test-client (via mcp-remote 0.1.31),40,0,40,0.0,0,1
rush-agent,39,4,35,10.256,7,1
openclaw-huggingface (via mcp-remote 0.1.37),39,0,39,0.0,0,1
zigent,39,1,38,2.564,22,1
mission-mcp-gateway,38,0,38,0.0,0,1
BB8-MCP-Broker-conn-0b508b54,38,0,38,0.0,0,1
rmcp (via mcp-remote 0.1.37),38,0,38,0.0,0,4
hf-mcp-server-client,38,0,38,0.0,0,1
mcp-router (via mcp-remote 0.1.37),37,1,36,2.703,2,1
workato-genie-mcp-client,37,37,0,100.0,37,1
clawcentral,37,0,37,0.0,0,1
talk2me-voice-agent,36,0,36,0.0,0,1
proctor-mcp-client,36,0,36,0.0,0,1
aiaw,35,26,9,74.286,99,5
mcp-gateway-fetcher,35,0,35,0.0,0,1
local-agent-mode-hf-gradio (via mcp-remote 0.1.37),35,0,35,0.0,0,1
agent,35,31,4,88.571,109,2
CopilotChatWebApi,34,1,33,2.941,2,1
aurocx-client,34,4,30,11.765,9,1
cursor-vscode (via mcp-remote 0.1.30),34,0,34,0.0,0,1
augment-mcp-client (via mcp-remote 0.1.37),34,1,33,2.941,2,1
mcp-remote-test-client (via mcp-remote 0.1.29),34,0,34,0.0,0,1
mcp-drift,34,0,34,0.0,0,1
Postman Client,34,1,33,2.941,1,1
mcp-helper,33,33,0,100.0,33,1
@huggingface/responses.js,33,0,33,0.0,0,1
toolathlon-live (via mcp-remote 0.1.37),33,11,22,33.333,70,1
grok-shell-hf-mcp-server,33,0,33,0.0,0,8
p,33,11,22,33.333,30,3
ModelContextProtocol.Core,33,0,33,0.0,0,1
zh,33,0,33,0.0,0,1
CopilotFlow,33,0,33,0.0,0,1
jarvis,33,24,9,72.727,208,1
Dify,33,28,5,84.848,28,2
LocalAI-WebUI,32,4,28,12.5,37,1
securemcp-gateway,32,0,32,0.0,0,1
MstyStudio (via mcp-remote 0.1.37),32,0,32,0.0,0,3
flowmap-operator,32,0,32,0.0,0,1
portal,32,0,32,0.0,0,1
local-agent-mode-huggingface-custom (via mcp-remote 0.1.37),31,2,29,6.452,2,1
BB8-MCP-Broker-conn-28df9687,31,3,28,9.677,4,1
Studio,31,19,12,61.29,86,1
nawah,30,0,30,0.0,0,1
claude-ai (via mcp-remote 0.1.41),30,0,30,0.0,0,1
t,30,1,29,3.333,2,2
mcp-test-client (via mcp-remote 0.1.37),29,0,29,0.0,0,1
concierge-forwarder-probe,29,0,29,0.0,0,1
hub-agent,29,0,29,0.0,0,1
mcp-tool-sync,29,0,29,0.0,0,1
AgentPlatform,28,22,6,78.571,22,1
grok-validator,28,0,28,0.0,0,1
Jan Streamable Client,28,2,26,7.143,20,1
Visual Studio Code (via mcp-remote 0.1.37),28,0,28,0.0,0,8
mcpchecker,28,0,28,0.0,0,1
qwen-cli-mcp-client-hf,28,0,28,0.0,0,1
mcp-health-client,28,0,28,0.0,0,1
Cline (via mcp-remote 0.1.29),28,0,28,0.0,0,3
goose-cli,27,4,23,14.815,31,5
BB8-MCP-Broker-conn-a8e6970d,27,0,27,0.0,0,1
nvcf-responses-mcp-client,27,12,15,44.444,20,1
Noruxa,27,2,25,7.407,2,1
BB8-MCP-Broker-conn-0196e527,27,0,27,0.0,0,1
ai-tool-executor,26,3,23,11.538,4,1
keycard-probe,26,0,26,0.0,0,1
genesis-gateway,26,10,16,38.462,12,1
archestra-inspector,26,1,25,3.846,1,2
databricks-langchain-client,26,8,18,30.769,8,1
hv-status-probe,25,0,25,0.0,0,1
Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/),25,0,25,0.0,0,1
langsmith-mcp-proxy,25,0,25,0.0,0,1
test-client,24,9,15,37.5,54,2
HF-MCP,24,0,24,0.0,0,1
huggingface-agent-mcp-client,24,23,1,95.833,69,1
linxclaw,24,0,24,0.0,0,1
Windsurf (via mcp-remote 0.1.15),24,0,24,0.0,0,1
bolt,24,0,24,0.0,0,1
egocodex-mcp-smoke,24,0,24,0.0,0,1
qoder-cli-mcp-client,23,0,23,0.0,0,1
mcp-remote-test-client (via mcp-remote 0.1.38),23,0,23,0.0,0,1
google-ai-edge-gallery,22,1,21,4.545,1,1
rex (via mcp-remote 0.1.37),22,0,22,0.0,0,1
claude-console,22,0,22,0.0,0,1
ai-debugger-web,22,4,18,18.182,16,1
github-copilot-developer-test,21,0,21,0.0,0,8
mavis-mcp,21,1,20,4.762,2,1
dev.warp.Warp-Stable (via mcp-remote 0.1.37),20,0,20,0.0,0,13
clawbuddy,20,6,14,30.0,11,1
executor-probe,20,0,20,0.0,0,1
celeste-agent,20,1,19,5.0,2,1
zerotwo-mcp-client-8ba77feb-eed6-4358-845e-4cf5f05b0eb9,20,0,20,0.0,0,1
hermes,20,0,20,0.0,0,3
antigravity-client (via mcp-remote 0.1.30),19,0,19,0.0,0,1
pinkfish,19,1,18,5.263,1,1
Programs,19,0,19,0.0,0,1
Air (via mcp-remote 0.1.37),19,0,19,0.0,0,1
concierge-bootstrap,19,0,19,0.0,0,1
jackfruit-research-mcp-handshake,19,0,19,0.0,0,1
huggingface_hub.MCPClient,18,2,16,11.111,7,4
chatbot,18,0,18,0.0,0,1
local-agent-mode-HuggingFace-Images (via mcp-remote 0.1.37),18,0,18,0.0,0,1
com.raycast.macos,18,4,14,22.222,15,6
TreatGPT-Web,17,0,17,0.0,0,1
c,17,11,6,64.706,14,2
AppIdea,17,0,17,0.0,0,1
Neurons,17,4,13,23.529,27,1
vsc-aitoolkit-HuggingFaceMCPServer,16,2,14,12.5,6,3
cherry-studio-app,16,1,15,6.25,1,1
mcp-shield-scanner,16,0,16,0.0,0,1
local-agent-mode-hf-mcp-server (via mcp-remote 0.1.17),16,1,15,6.25,3,1
exchange-experience-api,16,0,16,0.0,0,1
Tooler.API,16,3,13,18.75,5,1
@smolagents/mcp-client-sandbox,16,2,14,12.5,2,1
Msty Claw,16,1,15,6.25,2,1
mcp-introspector,16,0,16,0.0,0,1
mosaic-companion,15,1,14,6.667,8,1
ChatMcpiOSClient,15,4,11,26.667,7,1
universal-mcp-bridge,15,1,14,6.667,1,1
claude-ai (via mcp-remote 0.1.29),15,1,14,6.667,3,1
GenVR Workflow,15,3,12,20.0,3,1
pi-mcp-hf-mcp-server,15,6,9,40.0,21,1
mcs,15,0,15,0.0,0,1
ui5flow-mcp-client,15,0,15,0.0,0,1
@librechat/api-client (via mcp-remote 0.1.37),15,0,15,0.0,0,1
step2_test,15,9,6,60.0,12,1
conformance-test-client,15,0,15,0.0,0,1
dust-mcp-client,15,0,15,0.0,0,1
CC4ALL Admin,14,0,14,0.0,0,1
evaos-smoke,14,0,14,0.0,0,1
abacusai-agent,14,0,14,0.0,0,1
mcp-ollama-chatbot,14,1,13,7.143,6,1
Air,14,1,13,7.143,5,1
agentgateway-dashboard,14,0,14,0.0,0,1
nuvin,14,0,14,0.0,0,1
ironclaw,14,0,14,0.0,0,3
mcp-cli,14,1,13,7.143,6,1
mcptools,14,12,2,85.714,12,1
Huggingface,14,1,13,7.143,1,2
wekala,14,0,14,0.0,0,1
mcp-extractor,14,0,14,0.0,0,1
compose-connectors,14,0,14,0.0,0,1
nyx,13,7,6,53.846,7,1
lava-federation-http,13,10,3,76.923,10,1
agent-flow,13,9,4,69.231,57,2
nuclei,13,0,13,0.0,0,1
mcp-tool-explorer,13,2,11,15.385,6,2
mcp-queryset-gen,13,11,2,84.615,49,1
streamable-http-client,13,1,12,7.692,1,1
dmhai-itgr-test,13,0,13,0.0,0,1
solarwinds_mcp_verifier,13,0,13,0.0,0,1
claude-code (via mcp-remote 0.1.29),12,0,12,0.0,0,5
mcp-prompt-list,12,0,12,0.0,0,1
alma,12,0,12,0.0,0,1
pillar-agent,12,0,12,0.0,0,1
claude-ai (via mcp-remote 0.1.30),12,0,12,0.0,0,1
openacme-__test__,12,0,12,0.0,0,1
mcp-playground,12,2,10,16.667,2,2
mcpregistry,12,0,12,0.0,0,1
curl,12,2,10,16.667,28,5
codex-check,12,1,11,8.333,1,2
databricks-webapp,11,0,11,0.0,0,1
openclaw-bundle-mcp (via mcp-remote 0.1.36),11,0,11,0.0,0,1
mcp-remote-test-client (via mcp-remote 0.1.35),11,0,11,0.0,0,1
diag,11,0,11,0.0,0,4
mcp-web-client,11,3,8,27.273,3,1
codemoss-ide,11,0,11,0.0,0,1
WebMCP,11,0,11,0.0,0,1
claude-ai (via mcp-remote 0.1.12),11,0,11,0.0,0,1
grok-shell-grok_com_허깅페이스,11,0,11,0.0,0,2
MCP Playground,11,1,10,9.091,10,1
21st-desktop,11,0,11,0.0,0,1
ramparts,11,0,11,0.0,0,1
insomnia-test,11,0,11,0.0,0,1
aui-workflow-client,11,0,11,0.0,0,1
gemma.hf_mcp,11,7,4,63.636,7,1
local-agent-mode-hf-mcp-server (via mcp-remote 0.1.12),11,0,11,0.0,0,1
Playground,11,0,11,0.0,0,1
artific,11,0,11,0.0,0,1
grok-shell-hugging-face,11,0,11,0.0,0,3
seekrflow,10,0,10,0.0,0,1
claude-ai (via mcp-remote 0.1.31),10,0,10,0.0,0,1
local-agent-mode-huggingface (via mcp-remote 0.1.36),10,0,10,0.0,0,1
Firebase Studio,10,0,10,0.0,0,1
local-agent-mode-hf-mcp-server (via mcp-remote 0.1.18),10,1,9,10.0,8,1
devrel-index-probe,10,0,10,0.0,0,1
cloud-ai-tools-validator,10,0,10,0.0,0,1
hf-vision-mcp,10,0,10,0.0,0,1
DMH-AI,10,2,8,20.0,2,1
make-app-mcp-client,10,0,10,0.0,0,3
BB8-MCP-Broker-conn-f484d2e9,10,0,10,0.0,0,1
MCP-Security-Scanner,10,0,10,0.0,0,1
page-assist,10,5,5,50.0,10,1
crush,10,0,10,0.0,0,2
TypingMind,10,0,10,0.0,0,1
knot,9,9,0,100.0,36,1
hrbr-probe,9,0,9,0.0,0,1
MCP-02-HuggingFace-Ollama,9,0,9,0.0,0,1
osbot,9,1,8,11.111,4,1
slim-tools,9,3,6,33.333,4,1
Daneel,9,8,1,88.889,8,1
agent-seo,9,0,9,0.0,0,1
local-agent-mode-huggingface-hub (via mcp-remote 0.1.37),9,0,9,0.0,0,1
hrbr,9,0,9,0.0,0,1
drio-upstream-discovery,9,0,9,0.0,0,1
interpreter-client,9,0,9,0.0,0,1
seance,9,0,9,0.0,0,1
local-agent-mode-Hugging Face (via mcp-remote 0.1.37),9,0,9,0.0,0,1
agentgrade,9,0,9,0.0,0,1
mcp-client-cli,9,0,9,0.0,0,1
Playground MCP Client,9,0,9,0.0,0,1
local-agent-mode-mcp-remote (via mcp-remote 0.1.37),9,0,9,0.0,0,1
pi-mcp-hugging-face,9,3,6,33.333,28,1
mcphero,8,0,8,0.0,0,1
nutest-mcp-handshake-client,8,0,8,0.0,0,1
Context,8,3,5,37.5,16,1
external-mcp-client,8,0,8,0.0,0,1
audit-tool,8,0,8,0.0,0,1
Zed (via mcp-remote 0.1.37),8,0,8,0.0,0,1
hf-mcp-server (via mcp-remote 0.1.37),8,0,8,0.0,0,1
mcp-store-discovery,8,0,8,0.0,0,1
wiseai-mcp-bridge,8,0,8,0.0,0,1
