client_name,client_version,sessions,converted_sessions,unconverted_sessions,conversion_rate_pct,matched_tool_calls
codex-mcp-client (via mcp-remote 0.1.37),0.133.0-alpha.1,5184,17,5167,0.328,121
antigravity-client (via mcp-remote 0.1.37),v1.0.0,5082,33,5049,0.649,194
codex-mcp-client,0.131.0,5069,14,5055,0.276,103
ConversationalAI,2026.4.2.20966,5039,0,5039,0.0,0
claude-code,2.1.70,4897,19,4878,0.388,237
codex-mcp-client,0.117.0,4700,4,4696,0.085,57
claude-code,2.1.66,4696,1,4695,0.021,2
claude-code,2.1.124,4539,5,4534,0.11,34
assistant-cortex-api,1.0.0,4417,1,4416,0.023,2
ConversationalAI,2026.4.2.20861,4185,0,4185,0.0,0
openclaw-bundle-mcp (via mcp-remote 0.1.37),0.0.0,4105,2,4103,0.049,3
claude-code,2.1.58,4084,1,4083,0.024,16
glama,1.0.0,4027,0,4027,0.0,0
Visual Studio Code,1.120.0,3970,177,3793,4.458,957
codex-mcp-client,0.124.0-alpha.2,3939,14,3925,0.355,75
GleanClient,1.0,3676,3,3673,0.082,3
opencode,local,3501,3006,495,85.861,6806
ConversationalAI,2026.3.1.19188,3478,0,3478,0.0,0
claude-code,2.1.49,3456,7,3449,0.203,15
ConversationalAI,2026.5.1.24141,3456,0,3456,0.0,0
amp-mcp-client,0.0.0-dev,3400,17,3383,0.5,75
Java SDK MCP Client,0.15.0,3387,429,2958,12.666,471
solo-router,1.0,3353,0,3353,0.0,0
rush-probe,1.0,3282,0,3282,0.0,0
claude-code,2.1.14,3252,3,3249,0.092,12
mocop-gateway-go,0.13.0,3190,8,3182,0.251,8
gemini-cli-mcp-client,0.27.3,3097,17,3080,0.549,46
codex-mcp-client (via mcp-remote 0.1.37),0.125.0-alpha.3,3034,4,3030,0.132,23
claude-code,2.1.52,3010,8,3002,0.266,38
claude-code,2.1.47,2973,2,2971,0.067,9
(unknown),(unknown),2947,1568,1379,53.207,1582
mcp-client,1.1.0,2914,0,2914,0.0,0
ConversationalAI,2026.5.0.23647,2898,0,2898,0.0,0
codex-mcp-client,0.134.0,2773,10,2763,0.361,93
codex-mcp-client,0.124.0,2750,10,2740,0.364,66
codex-mcp-client (via mcp-remote 0.1.37),0.118.0-alpha.2,2734,2,2732,0.073,13
codex-mcp-client (via mcp-remote 0.1.37),0.133.0,2714,16,2698,0.59,150
mcp-proxy (via mcp-remote 0.1.37),1.0.0,2702,0,2702,0.0,0
ConversationalAI,2026.3.1.19035,2649,0,2649,0.0,0
isee-probe,1.0.0,2595,0,2595,0.0,0
BB8-MCP-Broker-conn-64cabf7f,1.0.0,2537,0,2537,0.0,0
ConversationalAI,2026.5.0.22668,2520,0,2520,0.0,0
gemini-cli-mcp-client,0.42.0,2505,70,2435,2.794,292
openai-mcp (Agent Builder),1.0.0,2471,2376,95,96.155,2380
BB8-MCP-Broker-conn-60b55b4c,1.0.0,2462,0,2462,0.0,0
codex-mcp-client (via mcp-remote 0.1.37),0.126.0-alpha.8,2458,4,2454,0.163,74
codex-mcp-client (via mcp-remote 0.1.37),0.122.0-alpha.1,2422,4,2418,0.165,30
ConversationalAI,2026.3.1.19411,2420,0,2420,0.0,0
codex-mcp-client,0.122.0,2418,13,2405,0.538,58
codex-mcp-client (via mcp-remote 0.1.37),0.119.0-alpha.11,2387,8,2379,0.335,47
codex-mcp-client,0.132.0,2376,8,2368,0.337,38
ConversationalAI,2026.4.0.19946,2315,0,2315,0.0,0
ConversationalAI,2026.3.1.18688,2298,0,2298,0.0,0
codex-mcp-client (via mcp-remote 0.1.37),0.128.0,2288,15,2273,0.656,37
PlayMCP,2025.0.0,2212,0,2212,0.0,0
Replit-Agent-MCP-Client,1.0,2196,5,2191,0.228,5
llama-ui-mcp,1.0.0,2191,24,2167,1.095,169
codex-mcp-client,0.135.0,2190,20,2170,0.913,134
claude-code,2.1.73,2178,10,2168,0.459,42
BB8-MCP-Broker-conn-dbe45ee2,1.0.0,2007,0,2007,0.0,0
codex-mcp-client,0.117.0-alpha.24,1964,2,1962,0.102,5
codex-mcp-client (via mcp-remote 0.1.37),0.135.0-alpha.1,1958,5,1953,0.255,124
metamcp-client,2.0.0,1915,11,1904,0.574,13
ConversationalAI,2026.3.1.19732,1912,0,1912,0.0,0
ConversationalAI,2026.3.1.19843,1911,0,1911,0.0,0
codex-mcp-client (via mcp-remote 0.1.37),0.125.0,1896,8,1888,0.422,41
factory-cli,0.101.0,1870,2,1868,0.107,22
Agent iOS,1.0,1862,0,1862,0.0,0
claude-code,2.1.68,1814,3,1811,0.165,55
groq-mcp-client,1.0.0,1802,1297,505,71.976,2851
codex-mcp-client,0.129.0,1782,23,1759,1.291,184
ConversationalAI,2026.4.0.20144,1759,0,1759,0.0,0
Grafana Assistant,0.1.0,1746,1,1745,0.057,1
claude-code,2.1.23,1741,1,1740,0.057,1
codex-mcp-client (via mcp-remote 0.1.37),0.122.0-alpha.13,1715,1,1714,0.058,2
lke-mcp-client,1.0.0,1687,0,1687,0.0,0
codex-mcp-client (via mcp-remote 0.1.37),0.130.0,1660,17,1643,1.024,75
ConversationalAI,2026.4.2.21125,1638,0,1638,0.0,0
gemini-cli-mcp-client,0.40.1,1635,35,1600,2.141,137
ConversationalAI,2026.4.2.21250,1624,0,1624,0.0,0
MCP Gateway AMI,1.0.0,1620,505,1115,31.173,560
codex-mcp-client (via mcp-remote 0.1.37),0.129.0-alpha.15,1619,4,1615,0.247,30
factory-cli,0.122.0,1602,2,1600,0.125,7
codex-mcp-client (via mcp-remote 0.1.37),0.119.0-alpha.28,1592,19,1573,1.193,66
Manus,1.1.0,1573,545,1028,34.647,3462
codex-mcp-client,0.119.0,1535,2,1533,0.13,5
claude-code,99.0.0,1535,8,1527,0.521,58
ConversationalAI,2026.3.1.19703,1523,0,1523,0.0,0
Workato MCP Connector,1.0.0,1496,0,1496,0.0,0
kiro,0.0.0,1495,56,1439,3.746,668
factory-cli,0.117.0,1485,1,1484,0.067,3
gemini-cli-mcp-client,0.41.2,1477,20,1457,1.354,93
gemini-cli-mcp-client,0.38.2,1432,33,1399,2.304,125
opencode,1.3.17,1377,1066,311,77.415,2744
curl-client,0.1,1371,0,1371,0.0,0
ConversationalAI,2026.4.1.20366,1369,0,1369,0.0,0
claude-code,2.1.44,1369,3,1366,0.219,13
codex-mcp-client,0.123.0-alpha.5,1351,3,1348,0.222,9
factory-cli,0.99.0,1349,9,1340,0.667,102
aibuildai-preflight,1,1347,0,1347,0.0,0
ConversationalAI,2026.3.1.19386,1323,0,1323,0.0,0
factory-cli,0.132.1,1321,2,1319,0.151,2
opencode,1.14.33,1321,1035,286,78.35,1894
toolhive-vmcp,v0.28.3,1263,0,1263,0.0,0
mcp-gateway,1.0.0,1250,14,1236,1.12,20
claude-code,2.1.61,1221,0,1221,0.0,0
factory-cli,0.125.0,1220,0,1220,0.0,0
continue-client,1.0.0,1195,5,1190,0.418,9
Visual Studio Code,1.115.0,1187,234,953,19.714,1369
AI Gateway,1.0,1185,0,1185,0.0,0
github-copilot-developer,1.0.56,1181,0,1181,0.0,0
opencode,1.4.3,1179,1057,122,89.652,1700
gemini-cli-mcp-client,0.39.1,1158,23,1135,1.986,53
BB8-MCP-Broker-conn-c371ad82,1.0.0,1155,0,1155,0.0,0
opencode,1.14.48,1153,906,247,78.578,1889
@n8n/n8n-nodes-langchain.mcpClientTool,1.2,1140,252,888,22.105,252
codex-mcp-client (via mcp-remote 0.1.37),0.107.0-alpha.5,1124,1,1123,0.089,2
mcporter,0.7.3,1093,40,1053,3.66,40
ConversationalAI,2026.4.1.21011,1085,0,1085,0.0,0
Visual Studio Code,1.116.0,1065,234,831,21.972,1420
gemini-cli-mcp-client,0.37.1,1062,12,1050,1.13,41
gemini-cli-mcp-client,0.43.0,1058,22,1036,2.079,94
ConversationalAI,2026.3.1.19615,1054,0,1054,0.0,0
Kelivo MCP,1.0.0,1052,2,1050,0.19,4
Java SDK MCP Client,1.0.0,1043,97,946,9.3,186
Visual Studio Code,1.121.0,1042,108,934,10.365,565
factory-cli,0.134.0,1025,0,1025,0.0,0
bolt-api,0.1.0,987,3,984,0.304,7
mocop-gateway-go,0.14.0,976,6,970,0.615,6
codex-mcp-client (via mcp-remote 0.1.37),0.120.0,976,17,959,1.742,44
gitmc-org-mcp-scanner,1.0.0,972,0,972,0.0,0
codex-mcp-client,0.1.12,961,10,951,1.041,41
claude-code,0.1.0,961,0,961,0.0,0
ConversationalAI,2026.3.1.19941,958,0,958,0.0,0
smithery-probe,0,955,0,955,0.0,0
codex-mcp-client (via mcp-remote 0.1.37),0.124.0-alpha.2,945,2,943,0.212,6
claude-code,2.1.20,908,0,908,0.0,0
ConversationalAI,2026.4.2.21094,905,0,905,0.0,0
ConversationalAI,2026.5.0.21763,886,0,886,0.0,0
Visual Studio Code,1.117.0,883,153,730,17.327,823
opencode,1.15.10,860,747,113,86.86,1080
nexus-worker,1.0.0,852,2,850,0.235,51
cosine-cli,v0,834,2,832,0.24,3
amelia-mcp-client,8.1-SNAPSHOT,832,5,827,0.601,7
claude-code,2.1.21,831,0,831,0.0,0
claude-code,2.0.1,821,0,821,0.0,0
Q DEV CLI (via mcp-remote 0.1.37),1.0.0,820,0,820,0.0,0
ConversationalAI,2026.3.1.19699,820,0,820,0.0,0
ConversationalAI,2026.5.0.23093,815,0,815,0.0,0
github-copilot-developer,1.0.0,814,15,799,1.843,55
factory-cli,0.121.0,809,2,807,0.247,3
Cherry Studio,1.9.6,795,3,792,0.377,29
factory-cli,0.131.0,788,0,788,0.0,0
ConversationalAI,2026.4.1.20632,785,0,785,0.0,0
claude-code,2.1.51,782,2,780,0.256,3
factory-cli,0.137.1,772,0,772,0.0,0
tfy-transport-probe,1.0.0,771,0,771,0.0,0
Zed,0.1.0,768,11,757,1.432,39
opencode,1.4.0,761,671,90,88.173,3748
ConversationalAI,2026.4.2.21217,759,0,759,0.0,0
ConversationalAI,2026.3.1.18929,759,0,759,0.0,0
factory-cli,0.104.0,753,4,749,0.531,13
factory-cli,0.97.0,748,0,748,0.0,0
Anthropic/Cowork,1.0.0,734,610,124,83.106,3764
codex-mcp-client (via mcp-remote 0.1.37),0.121.0,732,8,724,1.093,49
opencode,1.14.31,728,672,56,92.308,1289
connectors-manager,0.1.0,726,172,554,23.691,172
opencode,1.15.7,724,366,358,50.552,436
claude-code (via mcp-remote 0.1.30),2.1.126,720,1,719,0.139,1
opencode,1.14.30,719,637,82,88.595,1569
opencode,1.15.5,718,514,204,71.588,1101
opencode,1.14.28,718,659,59,91.783,942
gemini-cli-mcp-client,0.36.0,712,10,702,1.404,74
qwen-cli-mcp-client-huggingface,0.0.1,704,14,690,1.989,51
Windsurf (via mcp-remote 0.1.37),1.0.0,703,13,690,1.849,55
claude-code,2.1.17,702,6,696,0.855,16
Google ASM-Core,1.0.0,694,0,694,0.0,0
opencode,1.14.19,694,551,143,79.395,1205
ConversationalAI,2026.5.0.24567,680,0,680,0.0,0
mcproxy-remote,1.0.0,673,1,672,0.149,1
omp-coding-agent,1.0.0,673,17,656,2.526,112
ConversationalAI,2026.3.1.19471,670,0,670,0.0,0
Visual Studio Code,1.118.1,668,123,545,18.413,747
factory-cli,0.112.0,668,0,668,0.0,0
opencode,1.14.41,668,492,176,73.653,677
Cherry Studio,1.9.4,666,15,651,2.252,136
Visual Studio Code,1.119.0,662,123,539,18.58,751
Poke,1.0.0,657,535,122,81.431,560
factory-cli,0.108.0,614,2,612,0.326,5
gemini-cli-mcp-client,0.40.0,611,8,603,1.309,30
github-copilot-developer,1.0.40,608,3,605,0.493,6
Q DEV CLI,1.0.0,606,17,589,2.805,113
ConversationalAI,2026.3.1.18767,605,0,605,0.0,0
factory-cli,0.113.0,602,2,600,0.332,3
sproutos,1.0.0,597,0,597,0.0,0
github-copilot-developer,1.0.54,589,5,584,0.849,11
mcp-test-client,0.0.1,589,0,589,0.0,0
dovkie-monitor,0.0,587,0,587,0.0,0
factory-cli,0.136.0,586,2,584,0.341,4
codex-mcp-client,0.123.0,582,3,579,0.515,15
Anthropic/ClaudeCodeDesktop,1.0.0,581,537,44,92.427,4245
factory-cli,0.119.0,579,0,579,0.0,0
Cherry Studio,1.9.3,568,7,561,1.232,18
claude-code,2.1.888,568,11,557,1.937,21
local-agent-mode-huggingface (via mcp-remote 0.1.37),1.0.0,562,33,529,5.872,315
claude-code (via mcp-remote 0.1.37),2.1.119,560,11,549,1.964,45
amelia-mcp-client,8.0-SNAPSHOT,553,0,553,0.0,0
local-agent-mode-hf-mcp-server (via mcp-remote 0.1.37),1.0.0,552,8,544,1.449,22
opencode,1.4.6,547,487,60,89.031,878
opencode,1.14.29,543,469,74,86.372,759
factory-cli,0.136.1,538,0,538,0.0,0
augment-mcp-client,1.0.0,536,1,535,0.187,3
gemini-cli-mcp-client,0.38.1,533,0,533,0.0,0
HuggingFace,1.0,526,0,526,0.0,0
claude-code,2.1.55,525,1,524,0.19,1
Roo Code,3.53.0,520,36,484,6.923,168
github-copilot-developer,1.0.34,517,13,504,2.515,103
gemini-cli-mcp-client,0.0.1,516,2,514,0.388,8
codex-mcp-client,0.129.0-alpha.7,515,0,515,0.0,0
factory-cli,0.109.1,512,1,511,0.195,3
gemini-cli-mcp-client,0.37.2,508,8,500,1.575,11
ConversationalAI,2026.3.1.19299,504,0,504,0.0,0
opencode,1.14.20,500,444,56,88.8,542
hais-mcp-wallet,0.1.0,494,1,493,0.202,1
ConversationalAI,2026.3.1.18838,482,0,482,0.0,0
codex-mcp-client (via mcp-remote 0.1.29),0.131.0-alpha.9,482,0,482,0.0,0
cursor-vscode (via mcp-remote 0.1.37),1.0.0,480,4,476,0.833,27
factory-cli,0.123.1,478,0,478,0.0,0
Anthropic/API,1.0.0,477,31,446,6.499,143
factory-cli,0.129.0,474,3,471,0.633,6
VTENEXT/MCP-Client,1.0,466,0,466,0.0,0
codex-mcp-client (via mcp-remote 0.1.37),0.118.0,459,7,452,1.525,216
Trae,1.107.1,451,13,438,2.882,127
codex-mcp-client (via mcp-remote 0.1.37),0.131.0,448,1,447,0.223,1
claude-code,2.1.27,446,0,446,0.0,0
opencode,1.14.25,444,358,86,80.631,1089
ConversationalAI,2026.4.2.21233,444,0,444,0.0,0
ConversationalAI,2026.3.1.18876,438,0,438,0.0,0
factory-cli,0.98.0,435,0,435,0.0,0
factory-cli,0.128.0,431,0,431,0.0,0
opencode,1.15.11,431,394,37,91.415,1033
Kai 9000,1.0,429,18,411,4.196,110
Cline,3.82.0,429,9,420,2.098,21
opencode,1.14.39,428,388,40,90.654,425
lmstudio-mcp-server-session (via mcp-remote 0.1.37),1.0.0,426,15,411,3.521,43
opencode,1.14.50,424,349,75,82.311,565
codex-mcp-client,0.115.0-alpha.27,422,0,422,0.0,0
factory-cli,0.135.0,416,0,416,0.0,0
claude-code (via mcp-remote 0.1.37),2.1.156,414,6,408,1.449,18
claude-code,2.0.77,414,3,411,0.725,3
Airia MCP Gateway,1.0.0,413,0,413,0.0,0
factory-cli,0.109.3,412,1,411,0.243,3
claude-code (via mcp-remote 0.1.30),2.1.117,410,7,403,1.707,43
Visual Studio Code,1.109.5,402,6,396,1.493,27
gemini-cli-mcp-client,0.37.0,401,12,389,2.993,21
factory-cli,0.130.0,398,0,398,0.0,0
openai-mcp (Responses API),1.0.0,397,97,300,24.433,234
q-chat-plugin,1.0.0,397,0,397,0.0,0
github-copilot-developer,1.0.36,393,10,383,2.545,89
mcp-client-huggingface,1.0.0,385,6,379,1.558,15
metricly-mcp-hub,0.1.0,382,1,381,0.262,1
claude-code,1.0.0-codin,382,0,382,0.0,0
ConversationalAI,2026.4.2.21331,381,0,381,0.0,0
factory-cli,0.118.0,380,1,379,0.263,9
Cherry Studio,1.8.4,376,1,375,0.266,1
opencode,1.2.24,376,38,338,10.106,63
Cherry Studio,1.9.1,373,7,366,1.877,50
Visual Studio Code,1.114.0,372,77,295,20.699,443
opencode,1.15.12,368,320,48,86.957,441
openacme-huggingface,0.0.1,362,0,362,0.0,0
opencode,1.4.1,362,328,34,90.608,423
codex-mcp-client (via mcp-remote 0.1.29),0.130.0-alpha.5,360,0,360,0.0,0
codex-mcp-client,0.116.0,358,6,352,1.676,21
h2ogpte_introspect,1.0.0,358,0,358,0.0,0
factory-cli,0.124.0,357,0,357,0.0,0
hf,1.0.0,356,0,356,0.0,0
test,1.0,354,42,312,11.864,113
opencode,1.14.24,350,283,67,80.857,630
opencode,1.14.46,348,293,55,84.195,402
ConversationalAI,2026.3.1.18856,343,0,343,0.0,0
claude-code,2.1.41,341,10,331,2.933,79
codex-mcp-client (via mcp-remote 0.1.37),0.124.0,339,2,337,0.59,4
codex-mcp-client (via mcp-remote 0.1.37),0.101.0,338,0,338,0.0,0
codex-mcp-client (via mcp-remote 0.1.37),0.132.0,338,4,334,1.183,8
ConversationalAI,2026.4.0.20244,334,0,334,0.0,0
gemini-cli-mcp-client,0.38.0,334,17,317,5.09,18
tfy-gateway-virtual,1.0.0,331,0,331,0.0,0
1DD919D0-D810-4D10-B291-5B0141A1EF5F,1.0.0,331,0,331,0.0,0
koi-remote-mcp-scanner,1.0.0,328,0,328,0.0,0
ConversationalAI,2026.4.2.21195,327,0,327,0.0,0
claude-code,2.1.33,325,0,325,0.0,0
github-copilot-developer,1.0.48,322,6,316,1.863,44
codex-mcp-client (via mcp-remote 0.1.29),0.128.0-alpha.1,319,0,319,0.0,0
AgentBrowser,0.1.0,319,14,305,4.389,31
mad-dashboard,2.0,318,0,318,0.0,0
factory-cli,0.100.0,317,1,316,0.315,13
ConversationalAI,2026.3.1.19040,317,0,317,0.0,0
Cherry Studio,1.9.5,314,7,307,2.229,21
claude-code,2.1.88-source.0,310,2,308,0.645,42
claude-code (via mcp-remote 0.1.37),2.1.145,307,12,295,3.909,71
opencode,1.15.3,306,241,65,78.758,449
github-copilot-developer,1.0.31,304,4,300,1.316,22
github-copilot-developer,1.0.39,303,5,298,1.65,9
mcp-client-hf-mcp,1.0.0,301,18,283,5.98,328
factory-cli,0.115.0,299,0,299,0.0,0
factory-cli,0.95.0,299,0,299,0.0,0
